"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Embryonic Stem Cell H1","72h","","GSE99202","RNASeq","","ADRA2A","2.404","3.835","False"
"Embryonic Stem","1d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","SLC39A8","1.323","3.834","False"
"Pbmc","","","GSE78276","RNASeq","","CCL25","0.723","3.834","True"
"H9 Hesc","48h","50ng/mL","GSE76586","RNASeq","","ACTN3","-1.950","-3.833","True"
"H9 Hesc","48h","50ng/mL","GSE76586","RNASeq","","SNORA74A","1.950","3.833","True"
"Embryonic Stem Cell H1","24h","","GSE99202","RNASeq","","RPS3A","1.682","3.833","False"
"H9","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","SPP1","-2.292","-3.833","True"
"Hes-H9","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","ARID5B","1.175","3.833","True"
"H1 Hesc","48h","50ng/mL","GSE41009","RNASeq","","IER5L","1.691","3.832","False"
"Induced Chondrocyte","","","GSE69459","MicroArray","HuGene-1_0-st-v1","WIF1","1.573","3.832","False"
"Ipsc3.5","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","ZNF483","-2.108","-3.831","True"
"Ipsc3.5","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","ATP1A2","-2.108","-3.831","True"
"Embryonic Stem","3d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","ICAM3","-1.692","-3.831","True"
"Hesc Line H1","","","GSE21715","MicroArray","GPL10399","CEBPB","-1.858","-3.831","True"
"H9","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","GABRA3","-2.291","-3.830","True"
"Embryonic Stem","5d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","FGF2","-1.907","-3.830","True"
"H9 Hesc","48h","50ng/mL","GSE76586","RNASeq","","BTG2","1.948","3.829","True"
"Hips-Huvhips4F1","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","ATCAY","-2.969","-3.829","True"
"Embryonic Stem","1d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","GNG12","-1.321","-3.828","False"
"Induced Mesenchymal Stromal","","100ng/mL","GSE62783","MicroArray","HG-U133_Plus_2","UPP1","0.729","3.828","False"
"Hips-Huvhips4F1","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","EYA1","2.968","3.827","True"
"Ipsc3.6","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","ADAM19","1.967","3.827","True"
"Embryonic Stem Cell H1","72h","","GSE99202","RNASeq","","CENPE","-2.398","-3.826","False"
"H1 Hesc","48h","50ng/mL","GSE41009","RNASeq","","HESX1","1.688","3.826","False"
"Hips-Huvhips4F3","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","FBN2","2.041","3.826","True"
"Pbmc","","","GSE78276","RNASeq","","RCBTB2","-0.721","-3.824","True"
"Embryonic Stem","3d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","PLP1","-1.689","-3.822","True"
"Ipsc3.5","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","VAT1L","-2.103","-3.822","True"
