"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","HERC1","-2.556","-5.107","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","C11orf1","-2.552","-5.098","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","RFWD3","2.531","5.057","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","ZNF784","-2.519","-5.031","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","FAM219A","2.517","5.029","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","LOC100129917","-2.501","-4.997","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","FKBP11","2.554","4.980","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","GTF2A2","2.493","4.980","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","PPRC1","2.552","4.976","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","FAM219A","2.540","4.953","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","AACS","-2.478","-4.950","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","CAPN3","-2.475","-4.945","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","MCM4","2.531","4.935","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","GTF2A2","2.528","4.928","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","FAM241B","2.523","4.919","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","TNFAIP8L1","-2.462","-4.918","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","ZNF791","-2.462","-4.918","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","TNFAIP8L1","-2.515","-4.905","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","SMIM29","-2.450","-4.895","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","RUVBL2","-2.499","-4.873","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","RAB6A","2.495","4.865","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","RAB4B","2.434","4.863","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","CLCC1","-2.490","-4.855","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","PPP1R13B","2.483","4.841","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","SMIM29","-2.464","-4.805","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","ZNF14","-2.464","-4.805","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","ZNF14","-2.397","-4.788","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","FLVCR1-DT","-2.364","-4.722","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","WDR73","-2.361","-4.716","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","TBC1D13","-2.354","-4.702","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","RUVBL2","-2.351","-4.697","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","HHLA3","-2.406","-4.691","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","GRB10","-2.400","-4.679","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","MFSD4B","2.339","4.672","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","HSPH1","2.391","4.662","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","CLCC1","-2.333","-4.660","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","POLR2I","-2.383","-4.646","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","TXNL4B","-2.325","-4.644","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","ZNF592","-2.381","-4.642","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","MND1","2.379","4.638","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","ZNF784","-2.379","-4.638","False"
