"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","HLA-DMB","-1.427","-2.459","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","CD180","0.187","2.458","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","PRPF31","-0.187","-2.458","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","TWSG1","0.187","2.458","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","ATG7","-0.257","-2.458","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","RETSAT","-0.220","-2.457","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","SLC6A8","0.301","2.457","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","SERPINB1","1.426","2.457","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","DPP4","-1.426","-2.457","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","GAS7","1.426","2.457","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","MYCL","-0.301","-2.456","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","DLEU1","-1.426","-2.456","True"
