"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Reconstructed Epidermis","","200ng/mL","GSE52361","MicroArray","HG-U133_Plus_2","GM2A","1.353","4.494","True"
"Fibroblast","8h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","FANCI","0.508","4.493","False"
"Fibroblast","2h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","CSRNP1","0.706","4.492","False"
"Hacat","12h","200ng/mL","GSE27533","MicroArray","GPL10558","SPRYD3","1.087","4.492","False"
"Fibroblast","4h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","MAFB","-0.608","-4.491","False"
"Fibroblast","24h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","TNFSF10","0.655","4.491","False"
"Fibroblast","24h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","CRLF2","0.655","4.491","False"
"Aortic Vascular Smooth Muscle","6h","100ng/mL","GSE11367","MicroArray","HG-U133_Plus_2","FAM167A","1.061","4.486","True"
"Cultured Primary Keratinocyte","","1ng/mL","GSE24767","MicroArray","GPL6947","KRT13","-0.604","-4.486","True"
"Fibroblast","2h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","BDKRB1","0.705","4.484","False"
"Hacat","12h","200ng/mL","GSE27533","MicroArray","GPL10558","PPP1R13L","-1.085","-4.484","False"
"Dendritic","","","GSE53163","MicroArray","HG-U133_Plus_2","PPP1R14A","-2.261","-4.482","False"
"Fibroblast","1h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","PIGW","0.733","4.481","False"
"Reconstructed Epidermis","","200ng/mL","GSE52361","MicroArray","HG-U133_Plus_2","PCSK1","1.349","4.481","True"
"Primary Keratinocyte","","","GSE12109","MicroArray","GPL571","ATP1B1","1.004","4.480","True"
"Fibroblast","2h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","ADAMTS3","0.704","4.479","False"
"Aortic Vascular Smooth Muscle","6h","100ng/mL","GSE11367","MicroArray","HG-U133_Plus_2","JMJD6","1.059","4.478","True"
"Hbe","24h","","GSE10240","MicroArray","HG-U133A_2","LIPG","1.057","4.478","False"
"Fibroblast","1h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","KLF10","0.733","4.477","False"
"Fibroblast","18h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","HYLS1","0.582","4.476","False"
"Aortic Vascular Smooth Muscle","6h","100ng/mL","GSE11367","MicroArray","HG-U133_Plus_2","RHOBTB1","-1.059","-4.475","True"
"Fibroblast","4h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","HAPLN1","0.606","4.474","False"
"Thp1","","100ng/mL","GSE37659","MicroArray","HG-U133_Plus_2","TENT2","2.874","4.474","True"
"Thp1","","100ng/mL","GSE37659","MicroArray","HG-U133_Plus_2","SELENOW","2.873","4.473","True"
"Colon Organoid","","","GSE127757","MicroArray","PrimeView","GDA","0.662","4.473","True"
"Fibroblast","2h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","MICAL2","0.703","4.473","False"
"Fibroblast","4h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","ORC1","0.605","4.472","False"
"Fibroblast","4h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","EXO1","0.605","4.471","False"
"Aortic Vascular Smooth Muscle","6h","100ng/mL","GSE11367","MicroArray","HG-U133_Plus_2","PEAR1","-1.058","-4.471","True"
"Huh7.5","24h","","GSE89610","MicroArray","HuGene-1_0-st-v1","MT1X","2.452","4.471","False"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","HG-U133_Plus_2","DNER","1.455","4.470","True"
"Primary Hepatic Stellate","","40ng/mL","GSE119047","RNASeq","","COL4A6","-0.235","-4.469","False"
"Hbe","24h","","GSE10240","MicroArray","HG-U133A_2","SCD","1.055","4.469","False"
"Su-Dhl2","72h","200pg/mL","GSE115855","MicroArray","GPL13497","KIAA1614","-0.833","-4.468","False"
"Fibroblast","18h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","KIF4A","0.581","4.467","False"
"Hbe","24h","","GSE10240","MicroArray","HG-U133A_2","TTK","-1.055","-4.466","False"
"Primary Keratinocyte","","","GSE12109","MicroArray","GPL571","IGFBP3","1.001","4.466","True"
"Hbe","24h","","GSE10240","MicroArray","HG-U133A_2","PODXL","-1.054","-4.465","False"
"Aortic Vascular Smooth Muscle","6h","100ng/mL","GSE11367","MicroArray","HG-U133_Plus_2","ABRAXAS1","-1.056","-4.464","True"
"Fibroblast","24h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","RAB27B","0.651","4.464","False"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","HG-U133_Plus_2","KRT13","1.453","4.463","True"
"Dendritic","","","GSE53163","MicroArray","HG-U133_Plus_2","FAR2","-2.251","-4.463","False"
"Dendritic","","","GSE53163","MicroArray","HG-U133_Plus_2","WNT5A","-2.251","-4.463","False"
"Su-Dhl2","72h","200pg/mL","GSE115855","MicroArray","GPL13497","RASGRP4","-0.832","-4.462","False"
"Fibroblast","24h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","WDR76","-0.651","-4.462","False"
