,plate_name,position,sample,pool,concentration,concentration_unit,antigen_in_sample,variable,value
135,CALI1,G08,AgPool4,4,0.60398,ng/mL,IL-12 p40,IL-12 p70,0.06629693802615577
136,CALI1,G09,AgPool5,5,921.6,ng/mL,IL-12 p70,IL-12 p70,44.498112279719315
137,CALI1,G10,AgPool5,5,0.60398,ng/mL,IL-12 p70,IL-12 p70,-1.071142708193662
138,CALI1,H03,AgPool2,2,368.64000000000004,ng/mL,IL-23,IL-12 p70,0.02812151877531477
139,CALI1,H04,AgPool2,2,0.241592,ng/mL,IL-23,IL-12 p70,-0.8283064486633407
140,CALI1,H07,AgPool4,4,368.64000000000004,ng/mL,IL-12 p40,IL-12 p70,-0.09486938624991836
141,CALI1,H08,AgPool4,4,0.241592,ng/mL,IL-12 p40,IL-12 p70,-1.2355569478907924
142,CALI1,H09,AgPool5,5,368.64000000000004,ng/mL,IL-12 p70,IL-12 p70,27.634159599215025
143,CALI1,H10,AgPool5,5,0.241592,ng/mL,IL-12 p70,IL-12 p70,0.34581639542210496
144,CALI2,A03,AgPool2,2,225000.0,ng/mL,IL-23,IL-12 p70,-3.2790117992027135
145,CALI2,A04,AgPool2,2,147.45600000000002,ng/mL,IL-23,IL-12 p70,0.40939622606632753
146,CALI2,A07,AgPool4,4,225000.0,ng/mL,IL-12 p40,IL-12 p70,-5.0590836222694335
147,CALI2,A08,AgPool4,4,147.45600000000002,ng/mL,IL-12 p40,IL-12 p70,0.6861129939288446
148,CALI2,A09,AgPool5,5,225000.0,ng/mL,IL-12 p70,IL-12 p70,58.41100869168443
149,CALI2,A10,AgPool5,5,147.45600000000002,ng/mL,IL-12 p70,IL-12 p70,13.249112276978892
150,CALI2,B03,AgPool2,2,90000.0,ng/mL,IL-23,IL-12 p70,-2.9415379309353895
151,CALI2,B04,AgPool2,2,58.9824,ng/mL,IL-23,IL-12 p70,-0.9578751456038148
152,CALI2,B07,AgPool4,4,90000.0,ng/mL,IL-12 p40,IL-12 p70,-3.1926508323053326
153,CALI2,B08,AgPool4,4,58.9824,ng/mL,IL-12 p40,IL-12 p70,0.33864420339977386
154,CALI2,B09,AgPool5,5,90000.0,ng/mL,IL-12 p70,IL-12 p70,59.794513999453436
155,CALI2,B10,AgPool5,5,58.9824,ng/mL,IL-12 p70,IL-12 p70,7.250986557238903
156,CALI2,C03,AgPool2,2,36000.0,ng/mL,IL-23,IL-12 p70,-1.8932492129877687
157,CALI2,C04,AgPool2,2,23.592959999999998,ng/mL,IL-23,IL-12 p70,1.2525126623311067
158,CALI2,C07,AgPool4,4,36000.0,ng/mL,IL-12 p40,IL-12 p70,-0.5174631644861094
159,CALI2,C08,AgPool4,4,23.592959999999998,ng/mL,IL-12 p40,IL-12 p70,-0.09155510507206088
160,CALI2,C09,AgPool5,5,36000.0,ng/mL,IL-12 p70,IL-12 p70,61.252223009700835
