,plate_name,plate_barcode,position,sample,pool,concentration,concentration_unit,sample_ag,variable,value
98,reference,reference,A05,AgPool3,3.0,225000.0,ng/mL,IL-23,IL-12 p40,139.417356633076
99,reference,reference,A06,AgPool3,3.0,147.45600000000002,ng/mL,IL-23,IL-12 p40,40.7207857537441
100,reference,reference,B03,AgPool2,2.0,90000.0,ng/mL,IL-12 p70,IL-12 p40,69.9356941932811
101,reference,reference,B04,AgPool2,2.0,58.9824,ng/mL,IL-12 p70,IL-12 p40,5.56938588397566
102,reference,reference,B05,AgPool3,3.0,90000.0,ng/mL,IL-23,IL-12 p40,141.434296618161
103,reference,reference,B06,AgPool3,3.0,58.9824,ng/mL,IL-23,IL-12 p40,20.291614161598
104,reference,reference,C03,AgPool2,2.0,36000.0,ng/mL,IL-12 p70,IL-12 p40,60.9733423413918
105,reference,reference,C04,AgPool2,2.0,23.592959999999998,ng/mL,IL-12 p70,IL-12 p40,5.31800316143999
106,reference,reference,C05,AgPool3,3.0,36000.0,ng/mL,IL-23,IL-12 p40,135.609370992791
107,reference,reference,C06,AgPool3,3.0,23.592959999999998,ng/mL,IL-23,IL-12 p40,8.58189070772539
108,reference,reference,D03,AgPool2,2.0,14400.0,ng/mL,IL-12 p70,IL-12 p40,51.4876929116745
109,reference,reference,D04,AgPool2,2.0,9.437184,ng/mL,IL-12 p70,IL-12 p40,2.09660524826855
110,reference,reference,D05,AgPool3,3.0,14400.0,ng/mL,IL-23,IL-12 p40,132.996110241793
111,reference,reference,D06,AgPool3,3.0,9.437184,ng/mL,IL-23,IL-12 p40,5.21415639384275
112,reference,reference,E03,AgPool2,2.0,5760.0,ng/mL,IL-12 p70,IL-12 p40,42.4939687499349
113,reference,reference,E04,AgPool2,2.0,3.774874,ng/mL,IL-12 p70,IL-12 p40,2.71861960403261
114,reference,reference,E05,AgPool3,3.0,5760.0,ng/mL,IL-23,IL-12 p40,126.895393000777
115,reference,reference,E06,AgPool3,3.0,3.774874,ng/mL,IL-23,IL-12 p40,5.07778445705183
116,reference,reference,F03,AgPool2,2.0,2304.0,ng/mL,IL-12 p70,IL-12 p40,37.4155434348777
117,reference,reference,F04,AgPool2,2.0,1.509949,ng/mL,IL-12 p70,IL-12 p40,4.38908789846324
118,reference,reference,F05,AgPool3,3.0,2304.0,ng/mL,IL-23,IL-12 p40,117.592196788823
119,reference,reference,F06,AgPool3,3.0,1.509949,ng/mL,IL-23,IL-12 p40,3.67400412482121
120,reference,reference,G03,AgPool2,2.0,921.6,ng/mL,IL-12 p70,IL-12 p40,27.5507853577906
121,reference,reference,G04,AgPool2,2.0,0.60398,ng/mL,IL-12 p70,IL-12 p40,4.32416462121108
122,reference,reference,G05,AgPool3,3.0,921.6,ng/mL,IL-23,IL-12 p40,102.836654088188
123,reference,reference,G06,AgPool3,3.0,0.60398,ng/mL,IL-23,IL-12 p40,2.23568166659583
124,reference,reference,H03,AgPool2,2.0,368.64000000000004,ng/mL,IL-12 p70,IL-12 p40,19.0923214149479
125,reference,reference,H04,AgPool2,2.0,0.241592,ng/mL,IL-12 p70,IL-12 p40,2.76880420793753
126,reference,reference,H05,AgPool3,3.0,368.64000000000004,ng/mL,IL-23,IL-12 p40,73.890631873702
127,reference,reference,H06,AgPool3,3.0,0.241592,ng/mL,IL-23,IL-12 p40,1.91389855169665
128,Change FBS,Change FBS,A03,AgPool2,2.0,225000.0,ng/mL,IL-12 p70,IL-12 p70,76.6008420518559
129,Change FBS,Change FBS,A04,AgPool2,2.0,147.45600000000002,ng/mL,IL-12 p70,IL-12 p70,36.9229019827375
130,Change FBS,Change FBS,A05,AgPool3,3.0,225000.0,ng/mL,IL-23,IL-12 p70,0.0452236909301091
131,Change FBS,Change FBS,A06,AgPool3,3.0,147.45600000000002,ng/mL,IL-23,IL-12 p70,0.689353691329588
132,Change FBS,Change FBS,B03,AgPool2,2.0,90000.0,ng/mL,IL-12 p70,IL-12 p70,77.5112484169613
133,Change FBS,Change FBS,B04,AgPool2,2.0,58.9824,ng/mL,IL-12 p70,IL-12 p70,19.9432139860631
134,Change FBS,Change FBS,B05,AgPool3,3.0,90000.0,ng/mL,IL-23,IL-12 p70,1.19332526078915
135,Change FBS,Change FBS,B06,AgPool3,3.0,58.9824,ng/mL,IL-23,IL-12 p70,-0.0646542327502404
136,Change FBS,Change FBS,C03,AgPool2,2.0,36000.0,ng/mL,IL-12 p70,IL-12 p70,78.1449353374036
137,Change FBS,Change FBS,C04,AgPool2,2.0,23.592959999999998,ng/mL,IL-12 p70,IL-12 p70,9.52428266999609
138,Change FBS,Change FBS,C05,AgPool3,3.0,36000.0,ng/mL,IL-23,IL-12 p70,2.4508655128462
139,Change FBS,Change FBS,C06,AgPool3,3.0,23.592959999999998,ng/mL,IL-23,IL-12 p70,0.767727150621516
140,Change FBS,Change FBS,D03,AgPool2,2.0,14400.0,ng/mL,IL-12 p70,IL-12 p70,77.9560072284109
141,Change FBS,Change FBS,D04,AgPool2,2.0,9.437184,ng/mL,IL-12 p70,IL-12 p70,4.95037860413707
142,Change FBS,Change FBS,D05,AgPool3,3.0,14400.0,ng/mL,IL-23,IL-12 p70,1.69122914833401
143,Change FBS,Change FBS,D06,AgPool3,3.0,9.437184,ng/mL,IL-23,IL-12 p70,1.32906857738704
144,Change FBS,Change FBS,E03,AgPool2,2.0,5760.0,ng/mL,IL-12 p70,IL-12 p70,79.0973824203153
145,Change FBS,Change FBS,E04,AgPool2,2.0,3.774874,ng/mL,IL-12 p70,IL-12 p70,1.75393973551562
146,Change FBS,Change FBS,E05,AgPool3,3.0,5760.0,ng/mL,IL-23,IL-12 p70,-0.307652783589835
147,Change FBS,Change FBS,E06,AgPool3,3.0,3.774874,ng/mL,IL-23,IL-12 p70,-0.164075247893887
148,Change FBS,Change FBS,F03,AgPool2,2.0,2304.0,ng/mL,IL-12 p70,IL-12 p70,78.1632529151839
149,Change FBS,Change FBS,F04,AgPool2,2.0,1.509949,ng/mL,IL-12 p70,IL-12 p70,1.72816640042171
150,Change FBS,Change FBS,F05,AgPool3,3.0,2304.0,ng/mL,IL-23,IL-12 p70,0.429449069185908
151,Change FBS,Change FBS,F06,AgPool3,3.0,1.509949,ng/mL,IL-23,IL-12 p70,-0.579842271576739
152,Change FBS,Change FBS,G03,AgPool2,2.0,921.6,ng/mL,IL-12 p70,IL-12 p70,71.0573120853427
153,Change FBS,Change FBS,G04,AgPool2,2.0,0.60398,ng/mL,IL-12 p70,IL-12 p70,-0.22879612651839
154,Change FBS,Change FBS,G05,AgPool3,3.0,921.6,ng/mL,IL-23,IL-12 p70,1.26493689963883
155,Change FBS,Change FBS,G06,AgPool3,3.0,0.60398,ng/mL,IL-23,IL-12 p70,0.560785735174915
156,Change FBS,Change FBS,H03,AgPool2,2.0,368.64000000000004,ng/mL,IL-12 p70,IL-12 p70,55.1972434271256
157,Change FBS,Change FBS,H04,AgPool2,2.0,0.241592,ng/mL,IL-12 p70,IL-12 p70,1.15166286963765
158,Change FBS,Change FBS,H05,AgPool3,3.0,368.64000000000004,ng/mL,IL-23,IL-12 p70,0.386401756858989
159,Change FBS,Change FBS,H06,AgPool3,3.0,0.241592,ng/mL,IL-23,IL-12 p70,-0.343061238584431
160,Change plating,Change plating,A03,AgPool2,2.0,225000.0,ng/mL,IL-12 p70,IL-12 p70,75.883505699159
161,Change plating,Change plating,A04,AgPool2,2.0,147.45600000000002,ng/mL,IL-12 p70,IL-12 p70,38.1179764906196
162,Change plating,Change plating,A05,AgPool3,3.0,225000.0,ng/mL,IL-23,IL-12 p70,0.733976481111839
163,Change plating,Change plating,A06,AgPool3,3.0,147.45600000000002,ng/mL,IL-23,IL-12 p70,-0.98638747979513
164,Change plating,Change plating,B03,AgPool2,2.0,90000.0,ng/mL,IL-12 p70,IL-12 p70,77.7230983721194
165,Change plating,Change plating,B04,AgPool2,2.0,58.9824,ng/mL,IL-12 p70,IL-12 p70,21.9011573878625
166,Change plating,Change plating,B05,AgPool3,3.0,90000.0,ng/mL,IL-23,IL-12 p70,1.92972547186595
167,Change plating,Change plating,B06,AgPool3,3.0,58.9824,ng/mL,IL-23,IL-12 p70,1.57139562888872
168,Change plating,Change plating,C03,AgPool2,2.0,36000.0,ng/mL,IL-12 p70,IL-12 p70,77.8880778883081
169,Change plating,Change plating,C04,AgPool2,2.0,23.592959999999998,ng/mL,IL-12 p70,IL-12 p70,11.5377631548267
170,Change plating,Change plating,C05,AgPool3,3.0,36000.0,ng/mL,IL-23,IL-12 p70,1.23364648439552
171,Change plating,Change plating,C06,AgPool3,3.0,23.592959999999998,ng/mL,IL-23,IL-12 p70,-0.327085841114727
172,Change plating,Change plating,D03,AgPool2,2.0,14400.0,ng/mL,IL-12 p70,IL-12 p70,78.3865652874511
173,Change plating,Change plating,D04,AgPool2,2.0,9.437184,ng/mL,IL-12 p70,IL-12 p70,4.11757615668163
174,Change plating,Change plating,D05,AgPool3,3.0,14400.0,ng/mL,IL-23,IL-12 p70,0.545336400730041
175,Change plating,Change plating,D06,AgPool3,3.0,9.437184,ng/mL,IL-23,IL-12 p70,1.22583851995021
176,Change plating,Change plating,E03,AgPool2,2.0,5760.0,ng/mL,IL-12 p70,IL-12 p70,77.2402005249472
177,Change plating,Change plating,E04,AgPool2,2.0,3.774874,ng/mL,IL-12 p70,IL-12 p70,2.2550256466412
178,Change plating,Change plating,E05,AgPool3,3.0,5760.0,ng/mL,IL-23,IL-12 p70,1.61651323358911
179,Change plating,Change plating,E06,AgPool3,3.0,3.774874,ng/mL,IL-23,IL-12 p70,0.75305346390287
180,Change plating,Change plating,F03,AgPool2,2.0,2304.0,ng/mL,IL-12 p70,IL-12 p70,78.0254872908484
181,Change plating,Change plating,F04,AgPool2,2.0,1.509949,ng/mL,IL-12 p70,IL-12 p70,0.966304610523181
182,Change plating,Change plating,F05,AgPool3,3.0,2304.0,ng/mL,IL-23,IL-12 p70,0.196838138429098
183,Change plating,Change plating,F06,AgPool3,3.0,1.509949,ng/mL,IL-23,IL-12 p70,0.565002627360989
184,Change plating,Change plating,G03,AgPool2,2.0,921.6,ng/mL,IL-12 p70,IL-12 p70,72.9631113573005
185,Change plating,Change plating,G04,AgPool2,2.0,0.60398,ng/mL,IL-12 p70,IL-12 p70,0.851462623939861
186,Change plating,Change plating,G05,AgPool3,3.0,921.6,ng/mL,IL-23,IL-12 p70,0.769723132989073
187,Change plating,Change plating,G06,AgPool3,3.0,0.60398,ng/mL,IL-23,IL-12 p70,0.415546349984214
188,Change plating,Change plating,H03,AgPool2,2.0,368.64000000000004,ng/mL,IL-12 p70,IL-12 p70,58.5507119924118
189,Change plating,Change plating,H04,AgPool2,2.0,0.241592,ng/mL,IL-12 p70,IL-12 p70,0.955556852935942
190,Change plating,Change plating,H05,AgPool3,3.0,368.64000000000004,ng/mL,IL-23,IL-12 p70,1.2382996243135
191,Change plating,Change plating,H06,AgPool3,3.0,0.241592,ng/mL,IL-23,IL-12 p70,1.8900792911741
192,duplicate of reference,duplicate of reference,A03,AgPool2,2.0,225000.0,ng/mL,IL-12 p70,IL-12 p70,77.9801700344894
193,duplicate of reference,duplicate of reference,A04,AgPool2,2.0,147.45600000000002,ng/mL,IL-12 p70,IL-12 p70,37.3085203771991
194,duplicate of reference,duplicate of reference,A05,AgPool3,3.0,225000.0,ng/mL,IL-23,IL-12 p70,0.248984225999896
195,duplicate of reference,duplicate of reference,A06,AgPool3,3.0,147.45600000000002,ng/mL,IL-23,IL-12 p70,0.44866811072585
196,duplicate of reference,duplicate of reference,B03,AgPool2,2.0,90000.0,ng/mL,IL-12 p70,IL-12 p70,78.2864139865642
197,duplicate of reference,duplicate of reference,B04,AgPool2,2.0,58.9824,ng/mL,IL-12 p70,IL-12 p70,19.9564419888434
198,duplicate of reference,duplicate of reference,B05,AgPool3,3.0,90000.0,ng/mL,IL-23,IL-12 p70,1.41336880995258
199,duplicate of reference,duplicate of reference,B06,AgPool3,3.0,58.9824,ng/mL,IL-23,IL-12 p70,0.39724329254665
200,duplicate of reference,duplicate of reference,C03,AgPool2,2.0,36000.0,ng/mL,IL-12 p70,IL-12 p70,78.8584486522904
201,duplicate of reference,duplicate of reference,C04,AgPool2,2.0,23.592959999999998,ng/mL,IL-12 p70,IL-12 p70,10.4015058041971
202,duplicate of reference,duplicate of reference,C05,AgPool3,3.0,36000.0,ng/mL,IL-23,IL-12 p70,-0.131122807687743
203,duplicate of reference,duplicate of reference,C06,AgPool3,3.0,23.592959999999998,ng/mL,IL-23,IL-12 p70,1.57779265585079
204,duplicate of reference,duplicate of reference,D03,AgPool2,2.0,14400.0,ng/mL,IL-12 p70,IL-12 p70,78.1909305399045
205,duplicate of reference,duplicate of reference,D04,AgPool2,2.0,9.437184,ng/mL,IL-12 p70,IL-12 p70,4.77076141491367
206,duplicate of reference,duplicate of reference,D05,AgPool3,3.0,14400.0,ng/mL,IL-23,IL-12 p70,1.34775938342296
207,duplicate of reference,duplicate of reference,D06,AgPool3,3.0,9.437184,ng/mL,IL-23,IL-12 p70,-0.0938997688226821
208,duplicate of reference,duplicate of reference,E03,AgPool2,2.0,5760.0,ng/mL,IL-12 p70,IL-12 p70,78.8410129470394
209,duplicate of reference,duplicate of reference,E04,AgPool2,2.0,3.774874,ng/mL,IL-12 p70,IL-12 p70,1.86907261294508
210,duplicate of reference,duplicate of reference,E05,AgPool3,3.0,5760.0,ng/mL,IL-23,IL-12 p70,0.250950232285355
211,duplicate of reference,duplicate of reference,E06,AgPool3,3.0,3.774874,ng/mL,IL-23,IL-12 p70,-1.18332134535766
212,duplicate of reference,duplicate of reference,F03,AgPool2,2.0,2304.0,ng/mL,IL-12 p70,IL-12 p70,77.6057543149312
213,duplicate of reference,duplicate of reference,F04,AgPool2,2.0,1.509949,ng/mL,IL-12 p70,IL-12 p70,1.05175494176152
214,duplicate of reference,duplicate of reference,F05,AgPool3,3.0,2304.0,ng/mL,IL-23,IL-12 p70,0.651184954686941
215,duplicate of reference,duplicate of reference,F06,AgPool3,3.0,1.509949,ng/mL,IL-23,IL-12 p70,1.02317846822121
216,duplicate of reference,duplicate of reference,G03,AgPool2,2.0,921.6,ng/mL,IL-12 p70,IL-12 p70,72.1873588137081
217,duplicate of reference,duplicate of reference,G04,AgPool2,2.0,0.60398,ng/mL,IL-12 p70,IL-12 p70,0.425097174701978
218,duplicate of reference,duplicate of reference,G05,AgPool3,3.0,921.6,ng/mL,IL-23,IL-12 p70,0.131425166894953
219,duplicate of reference,duplicate of reference,G06,AgPool3,3.0,0.60398,ng/mL,IL-23,IL-12 p70,1.30329342609838
220,duplicate of reference,duplicate of reference,H03,AgPool2,2.0,368.64000000000004,ng/mL,IL-12 p70,IL-12 p70,56.3212180452945
221,duplicate of reference,duplicate of reference,H04,AgPool2,2.0,0.241592,ng/mL,IL-12 p70,IL-12 p70,0.503763302545939
222,duplicate of reference,duplicate of reference,H05,AgPool3,3.0,368.64000000000004,ng/mL,IL-23,IL-12 p70,0.791900132752617
223,duplicate of reference,duplicate of reference,H06,AgPool3,3.0,0.241592,ng/mL,IL-23,IL-12 p70,0.170506575507151
224,reference,reference,A03,AgPool2,2.0,225000.0,ng/mL,IL-12 p70,IL-12 p70,75.9106276144313
225,reference,reference,A04,AgPool2,2.0,147.45600000000002,ng/mL,IL-12 p70,IL-12 p70,36.9250203585531
226,reference,reference,A05,AgPool3,3.0,225000.0,ng/mL,IL-23,IL-12 p70,0.922984915805843
